date,rf,mktrf,smb,hml,umd,rmw,cma
2015-01-30,0.0,-0.0309,-0.0093,-0.0345,0.0374,0.0158,-0.0164
2015-02-27,0.0,0.0614,0.0036,-0.0179,-0.031,-0.011,-0.0175
2015-03-31,0.0,-0.0109,0.0308,-0.0038,0.027,0.0007,-0.0062
2015-04-30,0.0,0.006,-0.0301,0.018,-0.0727,0.0005,-0.0062
2015-05-29,0.0,0.0138,0.0082,-0.0111,0.0568,-0.0176,-0.0083
2015-06-30,0.0,-0.0154,0.029,-0.0082,0.0301,0.0035,-0.0154
2015-07-31,0.0,0.0157,-0.0458,-0.0416,0.0997,0.0031,-0.0244
2015-08-31,0.0,-0.0602,0.0029,0.0275,-0.0216,0.0066,0.0129
2015-09-30,0.0,-0.0306,-0.028,0.0055,0.0524,0.018,-0.0059
2015-10-30,0.0,0.0775,-0.0206,-0.0047,-0.0319,0.0095,0.0061
2015-11-30,0.0,0.0057,0.033,-0.0043,0.0229,-0.0265,-0.0106
2015-12-31,0.0001,-0.0215,-0.0295,-0.0257,0.0334,0.0034,0.0012
2016-01-29,0.0001,-0.0574,-0.0344,0.0208,0.016,0.0278,0.0305
2016-02-29,0.0002,-0.0007,0.0087,-0.0061,-0.0435,0.0331,0.0194
2016-03-31,0.0002,0.0695,0.01,0.0122,-0.0504,0.0068,0.0001
2016-04-29,0.0001,0.0091,0.0123,0.0322,-0.0598,-0.0285,0.0177
2016-05-31,0.0001,0.0178,-0.0062,-0.0162,0.0147,-0.011,-0.0254
2016-06-30,0.0002,-0.0003,0.0042,-0.0149,0.042,0.0145,0.019
2016-07-29,0.0002,0.0394,0.0247,-0.0124,-0.0331,0.0131,-0.0116
2016-08-31,0.0002,0.0049,0.0166,0.0317,-0.0341,-0.0185,-0.0036
2016-09-30,0.0002,0.0027,0.0181,-0.0119,0.0026,-0.0218,0.0003
2016-10-31,0.0002,-0.0201,-0.0402,0.0411,0.0051,0.0099,0.0025
2016-11-30,0.0001,0.0485,0.0696,0.0829,-0.0477,-0.0024,0.0371
2016-12-30,0.0003,0.0181,0.0044,0.0347,-0.0027,0.0124,-0.0032
2017-01-31,0.0004,0.0194,-0.0144,-0.0276,-0.0093,-0.0051,-0.0106
2017-02-28,0.0004,0.0355,-0.023,-0.015,-0.0151,0.0045,-0.018
2017-03-31,0.0003,0.0017,0.0075,-0.0333,-0.0097,0.0063,-0.0095
2017-04-28,0.0005,0.0108,0.0041,-0.0205,0.0048,0.0179,-0.016
2017-05-31,0.0006,0.0107,-0.0299,-0.0382,0.015,0.0099,-0.0166
2017-06-30,0.0006,0.0078,0.0252,0.015,-0.001,-0.0226,0.0004
2017-07-31,0.0007,0.0188,-0.0164,-0.0023,0.0163,-0.0075,-0.0015
2017-08-31,0.0009,0.0018,-0.0183,-0.0213,0.0331,0.002,-0.0238
2017-09-29,0.0009,0.0249,0.0476,0.0315,-0.0135,-0.0154,0.0163
2017-10-31,0.0009,0.0225,-0.0191,0.0013,0.0421,0.0092,-0.0314
2017-11-30,0.0008,0.0312,-0.0038,-0.0009,-0.0094,0.0319,-0.001
2017-12-29,0.0009,0.0106,-0.0105,0.0005,-0.0155,0.0073,0.0179
2018-01-31,0.0011,0.0558,-0.0321,-0.0132,0.0408,-0.0075,-0.0105
2018-02-28,0.0011,-0.0364,0.0034,-0.011,0.0368,0.0053,-0.0236
2018-03-29,0.0012,-0.0235,0.0361,-0.0021,-0.012,-0.0041,0.0008
2018-04-30,0.0014,0.0029,0.0089,0.0053,0.0045,-0.0242,0.0124
2018-05-31,0.0014,0.0263,0.0471,-0.0314,0.0391,-0.0198,-0.0149
2018-06-29,0.0014,0.0049,0.0077,-0.0233,-0.0226,0.0083,0.002
2018-07-31,0.0016,0.032,-0.0193,0.0049,-0.0143,0.0153,0.0031
2018-08-31,0.0016,0.0346,0.0065,-0.0391,0.053,-0.0029,-0.0257
2018-09-28,0.0015,0.0006,-0.0249,-0.0162,-0.0008,0.0065,0.0136
2018-10-31,0.0019,-0.0764,-0.0438,0.0338,-0.0206,0.0103,0.036
2018-11-30,0.0018,0.0171,-0.0081,0.0036,-0.014,-0.0061,0.004
2018-12-31,0.0019,-0.0955,-0.0281,-0.0192,0.0176,-0.0003,0.0024
2019-01-31,0.0021,0.0836,0.0291,-0.0039,-0.0862,-0.0073,-0.0165
2019-02-28,0.0018,0.0342,0.0172,-0.0266,0.005,0.0016,-0.0154
2019-03-29,0.0019,0.011,-0.0352,-0.0414,0.0224,0.0088,-0.009
2019-04-30,0.0021,0.0397,-0.0115,0.0213,-0.0291,0.0161,-0.0218
