mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.033500,0.004000,0.003300,-0.010800,0.005100,0.00000,-0.053300,2010-01-29
0.033900,0.014900,0.031800,-0.002900,0.014200,0.00000,0.036900,2010-02-26
0.063000,0.018300,0.021900,-0.006100,0.017400,0.00010,0.035700,2010-03-31
0.020000,0.049600,0.029600,0.006100,0.017500,0.00010,0.031600,2010-04-30
-0.079000,0.000800,-0.024800,0.013000,-0.002400,0.00010,-0.002000,2010-05-28
-0.055700,-0.024200,-0.047300,-0.001000,-0.015800,0.00010,-0.027000,2010-06-30
0.069200,0.000400,-0.005000,0.001700,0.020200,0.00010,0.017800,2010-07-30
-0.047700,-0.030600,-0.017300,0.006000,-0.016000,0.00010,0.000400,2010-08-31
0.095500,0.036500,-0.030200,-0.001900,0.003800,0.00010,0.013800,2010-09-30
0.038700,0.007300,-0.024600,0.012800,-0.003800,0.00010,0.014600,2010-10-29
0.005900,0.035400,-0.009000,0.003200,0.017900,0.00010,0.027300,2010-11-30
0.068200,0.009700,0.035600,-0.034200,0.031700,0.00010,-0.030000,2010-12-31
0.019800,-0.023100,0.006100,-0.006400,0.008100,0.00010,-0.003000,2011-01-31
0.034800,0.016500,0.011800,-0.018300,0.008400,0.00010,0.018800,2011-02-28
0.004600,0.025600,-0.018400,0.017300,-0.000700,0.00010,0.034500,2011-03-31
0.029000,-0.005300,-0.024400,0.011200,-0.008600,0.00000,0.000500,2011-04-29
-0.012700,-0.007200,-0.018500,0.019200,-0.014300,0.00000,-0.006000,2011-05-31
-0.017400,0.000600,-0.002000,0.022700,-0.014200,0.00000,0.018200,2011-06-30
-0.023500,-0.011100,-0.009100,0.026800,-0.017300,0.00000,0.002000,2011-07-29
-0.059600,-0.030900,-0.024300,0.034100,-0.002600,0.00010,-0.002700,2011-08-31
-0.075700,-0.034900,-0.015300,0.019900,0.001500,0.00000,-0.024000,2011-09-30
0.113400,0.032500,0.000600,-0.022500,-0.007300,0.00000,-0.014000,2011-10-31
-0.002700,-0.003000,-0.005200,0.019400,0.014400,0.00000,0.038800,2011-11-30
0.007500,-0.002900,0.015400,0.010600,0.024700,0.00000,0.018300,2011-12-30
0.050500,0.020200,-0.009300,-0.020600,-0.014800,0.00000,-0.080100,2012-01-31
0.044000,-0.016700,0.004200,-0.003600,-0.000800,0.00000,-0.002600,2012-02-29
0.031100,-0.004800,0.011900,-0.006100,0.007000,0.00000,0.013100,2012-03-30
-0.008400,-0.005000,-0.007700,0.013000,0.006600,0.00000,0.037200,2012-04-30
-0.061700,-0.000800,-0.009500,0.020300,0.023600,0.00010,0.064400,2012-05-31
0.039000,0.008900,0.005500,-0.010600,0.004500,0.00000,-0.011000,2012-06-29
0.007900,-0.028100,-0.000600,0.010400,0.000100,0.00000,0.030000,2012-07-31
0.025400,0.004400,0.012300,-0.015000,-0.008600,0.00010,-0.023500,2012-08-31
0.027300,0.005700,0.016200,-0.013000,0.015600,0.00010,-0.011300,2012-09-28
-0.017600,-0.008300,0.035200,-0.014000,0.025200,0.00010,0.000500,2012-10-31
0.007800,0.004000,-0.008600,0.003800,0.008100,0.00010,0.005300,2012-11-30
0.011800,0.019200,0.034800,-0.017200,0.008000,0.00010,-0.029300,2012-12-31
0.055700,0.004200,0.010100,-0.020100,0.015200,0.00000,-0.018200,2013-01-31
0.012900,-0.002500,0.002100,-0.005900,0.006100,0.00000,0.012300,2013-02-28
0.040300,0.008800,-0.002200,0.002700,0.014100,0.00000,0.019200,2013-03-28
0.015600,-0.022400,0.004400,0.003900,0.004300,0.00000,0.002200,2013-04-30
0.028100,0.020400,0.026700,-0.020000,-0.009500,0.00000,-0.020100,2013-05-31
-0.012000,0.015400,-0.000500,-0.002800,-0.000600,0.00000,0.004300,2013-06-28
0.056500,0.017500,0.005800,-0.013500,0.005700,0.00000,0.017400,2013-07-31
-0.027100,-0.000300,-0.027300,0.007100,-0.021700,0.00000,0.000400,2013-08-30
0.037700,0.026500,-0.011800,-0.005400,-0.013200,0.00000,0.030200,2013-09-30
0.041700,-0.015000,0.012200,0.027500,0.008900,0.00000,0.000200,2013-10-31
0.031200,0.014400,0.001900,0.002600,0.000600,0.00000,0.003900,2013-11-29
0.028000,-0.004400,0.000000,-0.005800,0.000800,0.00000,0.000200,2013-12-31
-0.033000,0.006000,-0.019900,-0.039100,-0.015400,0.00000,0.016100,2014-01-31
0.046800,0.001300,-0.003500,-0.002500,-0.005400,0.00000,0.021300,2014-02-28
0.004100,-0.011300,0.049000,0.020200,0.019200,0.00000,-0.032700,2014-03-31
-0.001900,-0.040700,0.012200,0.034000,0.009300,0.00000,-0.038200,2014-04-30
0.020400,-0.018600,-0.001000,-0.000900,-0.009600,0.00000,0.008900,2014-05-30
0.026100,0.030600,-0.007100,-0.018300,-0.019100,0.00000,0.006500,2014-06-30
-0.020300,-0.042000,-0.000800,0.009300,0.005100,0.00000,-0.001700,2014-07-31
0.042400,0.002900,-0.005700,-0.006400,-0.006900,0.00000,0.008300,2014-08-29
-0.019600,-0.036600,-0.014700,0.012000,-0.005900,0.00000,0.006000,2014-09-30
0.025100,0.036600,-0.016300,-0.003900,0.002100,0.00000,-0.002100,2014-10-31
0.025600,-0.023000,-0.031300,0.015700,0.001400,0.00000,0.006900,2014-11-28
-0.000500,0.028300,0.021200,-0.012100,0.009000,0.00000,0.010300,2014-12-31
-0.030900,-0.009300,-0.034500,0.015800,-0.016400,0.00000,0.037400,2015-01-30
0.061400,0.003600,-0.017900,-0.011000,-0.017500,0.00000,-0.031000,2015-02-27
-0.010900,0.030800,-0.003800,0.000700,-0.006200,0.00000,0.027000,2015-03-31
0.006000,-0.030100,0.018000,0.000500,-0.006200,0.00000,-0.072700,2015-04-30
0.013800,0.008200,-0.011100,-0.017600,-0.008300,0.00000,0.056800,2015-05-29
-0.015400,0.029000,-0.008200,0.003500,-0.015400,0.00000,0.030100,2015-06-30
0.015700,-0.045800,-0.041600,0.003100,-0.024400,0.00000,0.099700,2015-07-31
